geoid,neighborhood_name,value,average_label,rank,variable,region_name,tract_name
42101000100,Center City East,83.97641047889493,Above Average,3,Health and Wellness,Greater Center City,Center City East 1
42101000200,Center City East,74.59625289472827,Above Average,29,Health and Wellness,Greater Center City,Center City East 2
42101000300,Center City West,74.24922109968497,Above Average,31,Health and Wellness,Greater Center City,Center City West 1
42101000401,Center City West,70.4219936748047,Above Average,44,Health and Wellness,Greater Center City,Center City West 2
42101000402,Center City West,44.042336673428764,Average,246,Health and Wellness,Greater Center City,Center City West 3
42101000500,Center City East,70.60800272700573,Above Average,41,Health and Wellness,Greater Center City,Center City East 3
42101000600,Center City East,85.45708024774852,Above Average,1,Health and Wellness,Greater Center City,Center City East 4
42101000700,Center City West,79.70012423924315,Above Average,14,Health and Wellness,Greater Center City,Center City West 4
42101000801,Center City West,83.53165343788008,Above Average,4,Health and Wellness,Greater Center City,Center City West 5
42101000803,Center City West,69.09999655068277,Above Average,50,Health and Wellness,Greater Center City,Center City West 6
42101000804,Center City West,78.57717682513206,Above Average,16,Health and Wellness,Greater Center City,Center City West 7
42101000901,Center City East,81.58896461083216,Above Average,9,Health and Wellness,Greater Center City,Center City East 5
42101000902,Center City East,68.53066838763374,Above Average,54,Health and Wellness,Greater Center City,Center City East 6
42101001001,Center City East,47.101955808213106,Average,209,Health and Wellness,Greater Center City,Center City East 7
42101001002,Center City East,59.33656974069897,Above Average,81,Health and Wellness,Greater Center City,Center City East 8
42101001101,Center City East,72.8864621999092,Above Average,35,Health and Wellness,Greater Center City,Center City East 9
42101001102,Center City East,82.66144301230436,Above Average,5,Health and Wellness,Greater Center City,Center City East 10
42101001201,Center City West,77.14066612883694,Above Average,19,Health and Wellness,Greater Center City,Center City West 8
42101001202,Center City West,81.70454806187797,Above Average,7,Health and Wellness,Greater Center City,Center City West 9
42101001300,Schuylkill-Point Breeze,77.61689326071996,Above Average,18,Health and Wellness,Greater Center City,Schuylkill-Point Breeze 1
42101001400,Schuylkill-Point Breeze,75.03967877655278,Above Average,28,Health and Wellness,Greater Center City,Schuylkill-Point Breeze 2
42101001500,Pennsport-Queen Village,77.81958727262838,Above Average,17,Health and Wellness,Greater Center City,Pennsport-Queen Village 1
42101001600,Pennsport-Queen Village,80.84231672342783,Above Average,13,Health and Wellness,Greater Center City,Pennsport-Queen Village 2
42101001700,Pennsport-Queen Village,78.9544926120495,Above Average,15,Health and Wellness,Greater Center City,Pennsport-Queen Village 3
42101001800,Pennsport-Queen Village,73.79504587127916,Above Average,33,Health and Wellness,Greater Center City,Pennsport-Queen Village 4
42101001900,Schuylkill-Point Breeze,81.21837669376177,Above Average,10,Health and Wellness,Greater Center City,Schuylkill-Point Breeze 3
42101002000,Schuylkill-Point Breeze,50.273163954700514,Average,167,Health and Wellness,South,Schuylkill-Point Breeze 4
42101002100,Schuylkill-Point Breeze,54.95436576135494,Average,118,Health and Wellness,South,Schuylkill-Point Breeze 5
42101002200,Schuylkill-Point Breeze,64.20619697820838,Above Average,63,Health and Wellness,South,Schuylkill-Point Breeze 6
42101002300,Southwark-Bella Vista,68.71742820600316,Above Average,51,Health and Wellness,Greater Center City,Southwark-Bella Vista 1
42101002400,Southwark-Bella Vista,74.03675681963743,Above Average,32,Health and Wellness,Greater Center City,Southwark-Bella Vista 2
42101002500,Pennsport-Queen Village,59.695290087918,Above Average,80,Health and Wellness,Greater Center City,Pennsport-Queen Village 5
42101002701,Pennsport-Queen Village,66.9937897540885,Above Average,57,Health and Wellness,South,Pennsport-Queen Village 6
42101002702,Pennsport-Queen Village,59.11071213396936,Above Average,83,Health and Wellness,South,Pennsport-Queen Village 7
42101002801,Southwark-Bella Vista,67.54649616943242,Above Average,55,Health and Wellness,South,Southwark-Bella Vista 3
42101002802,Southwark-Bella Vista,62.7247791246448,Above Average,71,Health and Wellness,South,Southwark-Bella Vista 4
42101002900,Southwark-Bella Vista,56.27417538614865,Average,106,Health and Wellness,South,Southwark-Bella Vista 5
42101003001,Southwark-Bella Vista,68.68167447392385,Above Average,52,Health and Wellness,South,Southwark-Bella Vista 6
42101003002,Southwark-Bella Vista,52.67642936132272,Average,142,Health and Wellness,South,Southwark-Bella Vista 7
42101003100,Schuylkill-Point Breeze,48.8448932515402,Average,184,Health and Wellness,South,Schuylkill-Point Breeze 7
42101003200,Schuylkill-Point Breeze,39.11743844643079,Below Average,288,Health and Wellness,South,Schuylkill-Point Breeze 8
42101003300,Grays Ferry-Passyunk,42.83741669719659,Average,257,Health and Wellness,South,Grays Ferry-Passyunk 1
42101003600,Grays Ferry-Passyunk,33.27682803763411,Below Average,321,Health and Wellness,South,Grays Ferry-Passyunk 2
42101003701,South Broad-Girard Estates,48.64670575809194,Average,187,Health and Wellness,South,South Broad-Girard Estates 1
42101003702,South Broad-Girard Estates,51.51467459937212,Average,152,Health and Wellness,South,South Broad-Girard Estates 2
42101003800,Grays Ferry-Passyunk,43.611955257364954,Average,252,Health and Wellness,South,Grays Ferry-Passyunk 3
42101003901,South Broad-Girard Estates,55.67854382589545,Average,111,Health and Wellness,South,South Broad-Girard Estates 3
42101003902,South Broad-Girard Estates,43.82186979033386,Average,249,Health and Wellness,South,South Broad-Girard Estates 4
42101004001,South Broad-Girard Estates,51.10632030928737,Average,156,Health and Wellness,South,South Broad-Girard Estates 5
42101004002,South Broad-Girard Estates,46.10154093611319,Average,223,Health and Wellness,South,South Broad-Girard Estates 6
42101004101,Snyder-Whitman,52.03146393394394,Average,147,Health and Wellness,South,Snyder-Whitman 1
42101004102,Snyder-Whitman,44.292015394782,Average,244,Health and Wellness,South,Snyder-Whitman 2
42101004201,Snyder-Whitman,57.05918317527333,Average,96,Health and Wellness,South,Snyder-Whitman 3
42101004202,Snyder-Whitman,44.89223123042015,Average,232,Health and Wellness,South,Snyder-Whitman 4
42101005400,Eastwick-Elmwood,52.03145871983183,Average,148,Health and Wellness,Southwest,Eastwick-Elmwood 1
42101005500,Eastwick-Elmwood,51.486978582058434,Average,154,Health and Wellness,Southwest,Eastwick-Elmwood 2
42101005600,Eastwick-Elmwood,41.44999601240385,Average,268,Health and Wellness,Southwest,Eastwick-Elmwood 3
42101006000,Eastwick-Elmwood,45.60797282190632,Average,228,Health and Wellness,Southwest,Eastwick-Elmwood 4
42101006100,Eastwick-Elmwood,47.48242533140064,Average,205,Health and Wellness,Southwest,Eastwick-Elmwood 5
42101006200,Eastwick-Elmwood,47.186102460445966,Average,208,Health and Wellness,Southwest,Eastwick-Elmwood 6
42101006300,Paschall-Kingsessing,43.68530429828124,Average,251,Health and Wellness,Southwest,Paschall-Kingsessing 1
42101006400,Paschall-Kingsessing,48.21685712728057,Average,190,Health and Wellness,Southwest,Paschall-Kingsessing 2
42101006500,Paschall-Kingsessing,40.695932833917475,Average,275,Health and Wellness,Southwest,Paschall-Kingsessing 3
42101006600,Paschall-Kingsessing,26.28130417178223,Below Average,353,Health and Wellness,Southwest,Paschall-Kingsessing 4
42101006700,Eastwick-Elmwood,50.17237808612857,Average,170,Health and Wellness,Southwest,Eastwick-Elmwood 7
42101006900,Paschall-Kingsessing,32.33908424514611,Below Average,329,Health and Wellness,Southwest,Paschall-Kingsessing 5
42101007000,Paschall-Kingsessing,41.384843709236264,Average,270,Health and Wellness,Southwest,Paschall-Kingsessing 6
42101007101,Paschall-Kingsessing,22.5538796281482,Below Average,367,Health and Wellness,Southwest,Paschall-Kingsessing 7
42101007102,Paschall-Kingsessing,33.90032581011364,Below Average,318,Health and Wellness,Southwest,Paschall-Kingsessing 8
42101007200,Paschall-Kingsessing,36.07244066855256,Below Average,309,Health and Wellness,Southwest,Paschall-Kingsessing 9
42101007300,Paschall-Kingsessing,47.00576286384744,Average,210,Health and Wellness,Southwest,Paschall-Kingsessing 10
42101007400,Paschall-Kingsessing,42.62217802724213,Average,260,Health and Wellness,Southwest,Paschall-Kingsessing 11
42101007700,University City,69.40996016586949,Above Average,49,Health and Wellness,Southwest,University City 1
42101007800,University City,66.96484358076135,Above Average,58,Health and Wellness,Southwest,University City 2
42101007900,University City,73.72584944149878,Above Average,34,Health and Wellness,Southwest,University City 3
42101008000,Cobbs Creek,51.50303166530833,Average,153,Health and Wellness,Southwest,Cobbs Creek 1
42101008101,Cobbs Creek,34.25927093266154,Below Average,317,Health and Wellness,Southwest,Cobbs Creek 2
42101008102,Cobbs Creek,30.42993287847127,Below Average,336,Health and Wellness,Southwest,Cobbs Creek 3
42101008200,Cobbs Creek,40.59226125571574,Average,276,Health and Wellness,Southwest,Cobbs Creek 4
42101008301,Cobbs Creek,26.17786802959924,Below Average,354,Health and Wellness,Southwest,Cobbs Creek 5
42101008302,Cobbs Creek,37.49801244606149,Below Average,300,Health and Wellness,Southwest,Cobbs Creek 6
