STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,COUNTY,StateAbbr,StateDesc,Location,E_TOTPOP,M_TOTPOP,E_DAYPOP,SPL_EJI,RPL_EJI,SPL_SER,RPL_SER,EPL_OZONE,EPL_PM,EPL_DSLPM,EPL_TOTCR,SPL_EBM_THEME1,RPL_EBM_DOM1,EPL_NPL,EPL_TRI,EPL_TSD,EPL_RMP,EPL_COAL,EPL_LEAD,SPL_EBM_THEME2,RPL_EBM_DOM2,EPL_PARK,EPL_HOUAGE,EPL_WLKIND,SPL_EBM_THEME3,RPL_EBM_DOM3,EPL_RAIL,EPL_ROAD,EPL_AIRPRT,SPL_EBM_THEME4,RPL_EBM_DOM4,EPL_IMPWTR,SPL_EBM_THEME5,RPL_EBM_DOM5,SPL_EBM,RPL_EBM,EPL_MINRTY,SPL_SVM_DOM1,RPL_SVM_DOM1,EPL_POV200,EPL_NOHSDP,EPL_UNEMP,EPL_RENTER,EPL_HOUBDN,EPL_UNINSUR,EPL_NOINT,SPL_SVM_DOM2,RPL_SVM_DOM2,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_LIMENG,SPL_SVM_DOM3,RPL_SVM_DOM3,EPL_MOBILE,EPL_GROUPQ,SPL_SVM_DOM4,RPL_SVM_DOM4,SPL_SVM,RPL_SVM,F_BPHIGH,F_ASTHMA,F_CANCER,F_MHLTH,F_DIABETES,F_HVM,RPL_HVM,E_OZONE,E_PM,E_DSLPM,E_TOTCR,E_NPL,E_TRI,E_TSD,E_RMP,E_COAL,E_LEAD,E_PARK,E_HOUAGE,E_WLKIND,E_RAIL,E_ROAD,E_AIRPRT,E_IMPWTR,EP_MINRTY,EP_POV200,EP_NOHSDP,EP_UNEMP,EP_RENTER,EP_HOUBDN,EP_UNINSUR,EP_NOINT,EP_AGE65,EP_AGE17,EP_DISABL,EP_LIMENG,EP_MOBILE,EP_GROUPQ,EP_BPHIGH,EP_ASTHMA,EP_CANCER,EP_MHLTH,EP_DIABETES,EPL_BPHIGH,EPL_ASTHMA,EPL_CANCER,EPL_DIABETES,EPL_MHLTH
42,1,30101,1400000US42001030101,42001030101,301.01,Adams,PA,Pennsylvania,"Census Tract 301.01, Adams County, Pennsylvania",2689.0,18.0,1136.0,0.5639,0.1201,0.5639,0.1875,0.5508,0.7517,0.3242,0.2724,1.8991,0.5119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6982,0.2769,0.9453,1.9204,0.766,0.0,0.3744,0.0,0.3744,0.1219,0.8287,0.8287,0.8287,5.0226,0.2936,0.2812,0.2812,0.2812,0.283,0.5332,0.0632,0.2393,0.2185,0.6771,0.2731,2.2874,0.2468,0.5741,0.5761,0.3874,0.562,2.0996,0.5831,0.6985,0.0,0.6985,0.4022,5.3667,0.2703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.03,0.28,25.92,0.0,0.0,0.0,0.0,0.0,0.0,21.51,41.47,3.83,0.0,27.45,0.0,98.45,14.2,19.4124,10.6,1.5,17.9,18.5885,10.2,10.3,16.9,23.1,11.0,1.8,4.9,0.0,30.4,10.0,7.2,14.0,9.9,0.4098,0.5713,0.6113,0.3955,0.5033
42,1,30102,1400000US42001030102,42001030102,301.02,Adams,PA,Pennsylvania,"Census Tract 301.02, Adams County, Pennsylvania",5851.0,20.0,1879.0,0.4492,0.0762,0.4492,0.1206,0.6074,0.7429,0.2946,0.2728,1.9177,0.5197,0.0,0.4318,0.0,0.0,0.0,0.0,0.4318,0.2906,0.7607,0.1853,0.9589,1.9049,0.7565,0.0,0.0,0.0,0.0,0.0,0.7469,0.7469,0.7469,5.0013,0.2889,0.1953,0.1953,0.1953,0.1798,0.5718,0.3157,0.0516,0.129,0.5295,0.2546,2.032,0.1996,0.4214,0.4573,0.5243,0.0,1.403,0.1086,0.8852,0.0,0.8852,0.5482,4.5155,0.1603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,9.99,0.26,25.93,0.0,6.75,0.0,0.0,0.0,0.0,9.53,30.73,3.56,0.0,0.0,0.0,89.39,9.6,14.4011,11.5,3.5,7.6,15.884,7.5,9.8,14.4,21.5,12.9,0.0,18.7,0.0,28.4,10.0,6.5,14.6,9.2,0.2913,0.5713,0.4494,0.3056,0.5724
42,1,30200,1400000US42001030200,42001030200,302.0,Adams,PA,Pennsylvania,"Census Tract 302, Adams County, Pennsylvania",5506.0,231.0,5250.0,1.755,0.7328,1.355,0.7596,0.5508,0.6966,0.279,0.2581,1.7845,0.4632,0.0,0.4519,0.0,0.7074,0.0,0.0,1.1593,0.649,0.6552,0.3941,0.8867,1.936,0.7767,0.3464,0.3764,0.0,0.7228,0.2917,0.7986,0.7986,0.7986,6.4012,0.6061,0.3895,0.3895,0.3895,0.5195,0.7424,0.7397,0.3127,0.5218,0.7154,0.7118,4.2633,0.6679,0.4278,0.6831,0.5981,0.7965,2.5055,0.8669,0.8843,0.3832,1.2675,0.7596,8.4258,0.7489,0.0,1.0,0.0,1.0,0.0,2.0,0.4,1.0,9.77,0.25,25.56,0.0,8.61,0.0,3.44,0.0,0.0,32.38,52.38,4.67,10.58,27.77,0.0,95.96,21.1,30.9442,16.9,7.2,21.4,26.8934,11.1,23.3,14.5,24.7,14.0,6.1,18.6,0.1,31.8,10.7,6.8,16.5,11.2,0.4937,0.7373,0.516,0.5598,0.7587
42,1,30300,1400000US42001030300,42001030300,303.0,Adams,PA,Pennsylvania,"Census Tract 303, Adams County, Pennsylvania",4221.0,144.0,2825.0,0.9342,0.3145,0.9342,0.4638,0.5508,0.5911,0.1617,0.1899,1.4935,0.3349,0.0,0.4983,0.0,0.7774,0.0,0.0,1.2757,0.679,0.8238,0.4728,0.9284,2.225,0.9266,0.3696,0.0,0.0,0.3696,0.1206,0.5339,0.5339,0.5339,5.8977,0.4937,0.3275,0.3275,0.3275,0.2513,0.6145,0.2424,0.1776,0.323,0.5163,0.5452,2.6703,0.3226,0.4397,0.5165,0.3298,0.6593,1.9453,0.4432,0.7472,0.7789,1.5261,0.8909,6.4692,0.4405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.4,0.18,23.78,0.0,14.29,0.0,10.61,0.0,0.0,2.15,59.18,4.08,13.83,0.0,0.0,53.79,17.0,17.9023,12.6,3.0,15.0,21.3828,7.3,17.8,14.7,22.3,10.2,2.9,7.4,1.9,29.7,10.0,6.7,14.5,9.8,0.3669,0.5713,0.4939,0.3826,0.5611
42,1,30400,1400000US42001030400,42001030400,304.0,Adams,PA,Pennsylvania,"Census Tract 304, Adams County, Pennsylvania",5688.0,164.0,3283.0,1.4644,0.606,1.2644,0.7064,0.325,0.5482,0.1792,0.1995,1.2519,0.2414,0.0,0.415,0.0,0.6706,0.0,0.0,1.0856,0.6316,0.735,0.4586,0.8672,2.0608,0.8508,0.3411,0.3924,0.8472,1.5807,0.8914,0.3251,0.3251,0.3251,6.3041,0.5845,0.1851,0.1851,0.1851,0.487,0.7118,0.5241,0.2627,0.5454,0.6942,0.555,3.7802,0.5652,0.7651,0.3854,0.5981,0.6129,2.3615,0.7864,0.8008,0.8192,1.62,0.9344,7.9468,0.6799,0.0,0.0,1.0,0.0,0.0,1.0,0.2,0.33,9.26,0.19,24.05,0.0,5.41,0.0,1.55,0.0,0.0,13.89,57.96,4.87,9.87,30.38,0.09,22.65,9.1,29.2748,15.7,5.0,19.0,27.6207,10.6,18.1,20.4,20.5,14.0,2.3,10.8,2.5,32.8,10.3,7.7,14.8,11.2,0.5536,0.6494,0.7342,0.5598,0.5944
42,1,30500,1400000US42001030500,42001030500,305.0,Adams,PA,Pennsylvania,"Census Tract 305, Adams County, Pennsylvania",3832.0,193.0,4048.0,1.5972,0.6668,1.3972,0.7833,0.5508,0.607,0.2465,0.2398,1.6441,0.402,0.9315,0.5275,0.0,0.757,0.0,0.0,2.216,0.9185,0.7305,0.5127,0.8303,2.0735,0.8574,0.5797,0.2146,0.0,0.7943,0.3964,0.523,0.523,0.523,7.2509,0.773,0.384,0.384,0.384,0.4477,0.7089,0.1858,0.3209,0.372,0.6488,0.6993,3.3834,0.4774,0.7518,0.3715,0.73,0.7514,2.6047,0.9091,0.7809,0.4452,1.2261,0.742,7.5982,0.6242,0.0,0.0,1.0,0.0,0.0,1.0,0.2,1.0,9.45,0.23,25.09,1.88,19.07,0.0,7.77,0.0,0.0,14.75,62.6,5.33,53.56,4.79,0.0,51.59,20.7,27.3394,15.6,2.6,21.8,22.6926,9.6,22.8,20.1,20.3,16.3,4.7,9.5,0.2,32.9,10.3,7.7,14.8,11.4,0.5597,0.6494,0.7342,0.5831,0.5944
42,1,30600,1400000US42001030600,42001030600,306.0,Adams,PA,Pennsylvania,"Census Tract 306, Adams County, Pennsylvania",4954.0,19.0,7070.0,1.7185,0.7179,1.5185,0.8454,0.6074,0.6595,0.3399,0.3246,1.9314,0.5253,0.9591,0.5808,0.0,0.8119,0.0,0.0,2.3518,0.928,0.7277,0.4719,0.5638,1.7634,0.661,0.4957,0.5845,0.0,1.0802,0.5198,0.6349,0.6349,0.6349,7.7617,0.8535,0.2777,0.2777,0.2777,0.4815,0.6945,0.537,0.3209,0.3856,0.2588,0.6443,3.3226,0.464,0.8647,0.2839,0.8206,0.5498,2.519,0.8728,0.7809,0.9539,1.7348,0.971,7.8541,0.665,0.0,0.0,1.0,0.0,0.0,1.0,0.2,1.33,9.61,0.29,27.2,16.91,29.57,0.0,17.88,0.0,0.0,15.28,59.12,8.28,34.4,70.23,0.0,70.65,14.0,28.9802,15.1,5.1,21.8,23.0455,4.0,20.9,23.2,18.9,18.4,1.7,9.5,11.7,34.3,10.2,8.6,14.4,11.8,0.6387,0.6245,0.8908,0.6264,0.5495
42,1,30700,1400000US42001030700,42001030700,307.0,Adams,PA,Pennsylvania,"Census Tract 307, Adams County, Pennsylvania",6661.0,286.0,2222.0,0.9982,0.3535,0.9982,0.5167,0.6773,0.6782,0.3242,0.3298,2.0095,0.5556,0.0,0.4016,0.0,0.7308,0.0,0.0,1.1324,0.6427,1.0,0.3247,0.8592,2.1839,0.9089,0.4068,0.3303,0.0,0.7371,0.3009,0.6433,0.6433,0.6433,6.7062,0.6711,0.1425,0.1425,0.1425,0.269,0.5884,0.286,0.2627,0.3277,0.3364,0.6561,2.7263,0.3338,0.6223,0.5542,0.5515,0.3491,2.0771,0.5637,0.8043,0.0,0.8043,0.4794,5.7502,0.3271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.68,0.28,27.33,0.0,4.52,0.0,5.08,0.0,0.0,0.0,46.11,5.0,19.09,20.6,0.0,72.12999999999998,7.1,18.765,11.9,3.3,19.0,21.5062,4.9,21.3,17.7,22.8,13.3,0.6,11.1,0.0,30.5,10.3,7.0,15.1,10.2,0.4154,0.6494,0.5632,0.4345,0.6272
42,1,30800,1400000US42001030800,42001030800,308.0,Adams,PA,Pennsylvania,"Census Tract 308, Adams County, Pennsylvania",7418.0,255.0,4991.0,1.2838,0.5156,0.8838,0.4225,0.6773,0.7321,0.3551,0.3008,2.0653,0.5763,0.0,0.4888,0.0,0.0,0.0,0.0,0.4888,0.3182,1.0,0.3604,0.5905,1.9509,0.7863,0.3193,0.3752,0.0,0.6945,0.273,0.7449,0.7449,0.7449,5.9444,0.5044,0.1468,0.1468,0.1468,0.3406,0.5285,0.3007,0.2245,0.4912,0.3784,0.4154,2.6793,0.3246,0.7017,0.3715,0.5651,0.399,2.0373,0.5271,0.8388,0.3832,1.222,0.7408,6.0854,0.3794,0.0,1.0,1.0,0.0,0.0,2.0,0.4,2.0,9.94,0.3,26.62,0.0,12.96,0.0,0.0,0.0,0.0,0.0,49.49,7.96,6.93,27.58,0.0,89.09999999999998,7.3,22.2493,10.5,3.4,17.2,25.9592,5.4,14.1,19.1,20.3,13.5,0.8,14.0,0.1,32.2,10.4,7.5,15.1,11.1,0.5176,0.6732,0.6866,0.5479,0.6272
42,1,30900,1400000US42001030900,42001030900,309.0,Adams,PA,Pennsylvania,"Census Tract 309, Adams County, Pennsylvania",7587.0,226.0,9710.0,1.8482,0.7668,1.4482,0.8097,0.6773,0.7049,0.3844,0.3214,2.088,0.5846,0.0,0.7312,0.0,0.8474,0.0,0.0,1.5786,0.7801,1.0,0.2332,0.7109,1.9441,0.7819,0.6719,0.4403,0.0,1.1122,0.5345,0.8246,0.8246,0.8246,7.5475,0.8221,0.2434,0.2434,0.2434,0.444,0.6145,0.1726,0.502,0.5215,0.3021,0.717,3.2737,0.4531,0.9108,0.4497,0.6937,0.5727,2.6269,0.9175,0.6013,0.8646,1.4659,0.8605,7.6099,0.6261,1.0,0.0,1.0,0.0,0.0,2.0,0.4,2.0,9.81,0.32,27.12,0.0,71.78,0.0,28.27,0.0,0.0,0.0,36.62,6.63,78.15,39.28,0.0,98.15,12.1,27.1809,12.6,2.5,31.7,26.8874,4.5,23.5,25.4,21.4,15.6,1.9,1.9,3.5,36.3,10.2,9.1,14.7,12.2,0.7371,0.6245,0.9332,0.6662,0.5837
