geoid,neighborhood_name,value,average_label,rank,variable,region_name,tract_name
42101000100,Center City East,44.32678595,Below Average,328,Ozone concentration,Greater Center City,Center City East 1
42101000200,Center City East,43.92083734,Below Average,314,Ozone concentration,Greater Center City,Center City East 2
42101000300,Center City West,43.47262904,Average,273,Ozone concentration,Greater Center City,Center City West 1
42101000401,Center City West,43.47263277,Below Average,288,Ozone concentration,Greater Center City,Center City West 2
42101000402,Center City West,43.47262904,Average,273,Ozone concentration,Greater Center City,Center City West 3
42101000500,Center City East,43.83989424,Below Average,311,Ozone concentration,Greater Center City,Center City East 3
42101000600,Center City East,43.8044928,Below Average,310,Ozone concentration,Greater Center City,Center City East 4
42101000700,Center City West,43.47262904,Average,273,Ozone concentration,Greater Center City,Center City West 4
42101000801,Center City West,43.47263277,Below Average,288,Ozone concentration,Greater Center City,Center City West 5
42101000803,Center City West,43.47263277,Below Average,288,Ozone concentration,Greater Center City,Center City West 6
42101000804,Center City West,43.47262904,Average,273,Ozone concentration,Greater Center City,Center City West 7
42101000901,Center City East,43.47262904,Average,273,Ozone concentration,Greater Center City,Center City East 5
42101000902,Center City East,43.9661704,Below Average,315,Ozone concentration,Greater Center City,Center City East 6
42101001001,Center City East,44.32678595,Below Average,328,Ozone concentration,Greater Center City,Center City East 7
42101001002,Center City East,44.32678595,Below Average,328,Ozone concentration,Greater Center City,Center City East 8
42101001101,Center City East,43.47263277,Below Average,288,Ozone concentration,Greater Center City,Center City East 9
42101001102,Center City East,43.96657646,Below Average,316,Ozone concentration,Greater Center City,Center City East 10
42101001201,Center City West,43.47262904,Average,273,Ozone concentration,Greater Center City,Center City West 8
42101001202,Center City West,43.47262904,Average,273,Ozone concentration,Greater Center City,Center City West 9
42101001300,Schuylkill-Point Breeze,43.47262904,Average,273,Ozone concentration,Greater Center City,Schuylkill-Point Breeze 1
42101001400,Schuylkill-Point Breeze,43.47262904,Average,273,Ozone concentration,Greater Center City,Schuylkill-Point Breeze 2
42101001500,Pennsport-Queen Village,43.77663136,Below Average,307,Ozone concentration,Greater Center City,Pennsport-Queen Village 1
42101001600,Pennsport-Queen Village,44.32678595,Below Average,328,Ozone concentration,Greater Center City,Pennsport-Queen Village 2
42101001700,Pennsport-Queen Village,44.32678223,Below Average,326,Ozone concentration,Greater Center City,Pennsport-Queen Village 3
42101001800,Pennsport-Queen Village,43.77665371,Below Average,308,Ozone concentration,Greater Center City,Pennsport-Queen Village 4
42101001900,Schuylkill-Point Breeze,43.47262904,Average,273,Ozone concentration,Greater Center City,Schuylkill-Point Breeze 3
42101002000,Schuylkill-Point Breeze,43.47263277,Below Average,288,Ozone concentration,South,Schuylkill-Point Breeze 4
42101002100,Schuylkill-Point Breeze,43.47263277,Below Average,288,Ozone concentration,South,Schuylkill-Point Breeze 5
42101002200,Schuylkill-Point Breeze,43.47262904,Average,273,Ozone concentration,South,Schuylkill-Point Breeze 6
42101002300,Southwark-Bella Vista,43.47263277,Below Average,288,Ozone concentration,Greater Center City,Southwark-Bella Vista 1
42101002400,Southwark-Bella Vista,43.76358911,Below Average,306,Ozone concentration,Greater Center City,Southwark-Bella Vista 2
42101002500,Pennsport-Queen Village,44.32678223,Below Average,326,Ozone concentration,Greater Center City,Pennsport-Queen Village 5
42101002701,Pennsport-Queen Village,44.15081441,Below Average,322,Ozone concentration,South,Pennsport-Queen Village 6
42101002702,Pennsport-Queen Village,44.10313442,Below Average,321,Ozone concentration,South,Pennsport-Queen Village 7
42101002801,Southwark-Bella Vista,43.783281,Below Average,309,Ozone concentration,South,Southwark-Bella Vista 3
42101002802,Southwark-Bella Vista,43.23954135,Average,241,Ozone concentration,South,Southwark-Bella Vista 4
42101002900,Southwark-Bella Vista,43.41853783,Average,266,Ozone concentration,South,Southwark-Bella Vista 5
42101003001,Southwark-Bella Vista,43.47173125,Average,272,Ozone concentration,South,Southwark-Bella Vista 6
42101003002,Southwark-Bella Vista,43.47263277,Below Average,288,Ozone concentration,South,Southwark-Bella Vista 7
42101003100,Schuylkill-Point Breeze,43.47263277,Below Average,288,Ozone concentration,South,Schuylkill-Point Breeze 7
42101003200,Schuylkill-Point Breeze,43.47263277,Below Average,288,Ozone concentration,South,Schuylkill-Point Breeze 8
42101003300,Grays Ferry-Passyunk,43.47263277,Below Average,288,Ozone concentration,South,Grays Ferry-Passyunk 1
42101003600,Grays Ferry-Passyunk,42.98009723,Average,234,Ozone concentration,South,Grays Ferry-Passyunk 2
42101003701,South Broad-Girard Estates,43.10961068,Average,237,Ozone concentration,South,South Broad-Girard Estates 1
42101003702,South Broad-Girard Estates,42.18391702,Average,172,Ozone concentration,South,South Broad-Girard Estates 2
42101003800,Grays Ferry-Passyunk,42.18391329,Average,170,Ozone concentration,South,Grays Ferry-Passyunk 3
42101003901,South Broad-Girard Estates,42.25218296,Average,180,Ozone concentration,South,South Broad-Girard Estates 3
42101003902,South Broad-Girard Estates,42.18391702,Average,172,Ozone concentration,South,South Broad-Girard Estates 4
42101004001,South Broad-Girard Estates,42.18391702,Average,172,Ozone concentration,South,South Broad-Girard Estates 5
42101004002,South Broad-Girard Estates,42.18391329,Average,170,Ozone concentration,South,South Broad-Girard Estates 6
42101004101,Snyder-Whitman,42.58960113,Average,221,Ozone concentration,South,Snyder-Whitman 1
42101004102,Snyder-Whitman,42.38232598,Average,215,Ozone concentration,South,Snyder-Whitman 2
42101004201,Snyder-Whitman,43.67699474,Below Average,303,Ozone concentration,South,Snyder-Whitman 3
42101004202,Snyder-Whitman,43.67699847,Below Average,304,Ozone concentration,South,Snyder-Whitman 4
42101005400,Eastwick-Elmwood,41.25141352,Average,130,Ozone concentration,Southwest,Eastwick-Elmwood 1
42101005500,Eastwick-Elmwood,41.6367203,Average,132,Ozone concentration,Southwest,Eastwick-Elmwood 2
42101005600,Eastwick-Elmwood,41.6367203,Average,132,Ozone concentration,Southwest,Eastwick-Elmwood 3
42101006000,Eastwick-Elmwood,41.6367203,Average,132,Ozone concentration,Southwest,Eastwick-Elmwood 4
42101006100,Eastwick-Elmwood,41.6367203,Average,132,Ozone concentration,Southwest,Eastwick-Elmwood 5
42101006200,Eastwick-Elmwood,41.6367203,Average,132,Ozone concentration,Southwest,Eastwick-Elmwood 6
42101006300,Paschall-Kingsessing,41.63672403,Average,137,Ozone concentration,Southwest,Paschall-Kingsessing 1
42101006400,Paschall-Kingsessing,41.86237231,Average,148,Ozone concentration,Southwest,Paschall-Kingsessing 2
42101006500,Paschall-Kingsessing,42.27215797,Average,181,Ozone concentration,Southwest,Paschall-Kingsessing 3
42101006600,Paschall-Kingsessing,42.170614,Average,169,Ozone concentration,Southwest,Paschall-Kingsessing 4
42101006700,Eastwick-Elmwood,41.76405445,Average,145,Ozone concentration,Southwest,Eastwick-Elmwood 7
42101006900,Paschall-Kingsessing,42.94355959,Average,233,Ozone concentration,Southwest,Paschall-Kingsessing 5
42101007000,Paschall-Kingsessing,42.27228463,Average,192,Ozone concentration,Southwest,Paschall-Kingsessing 6
42101007101,Paschall-Kingsessing,42.27216169,Average,189,Ozone concentration,Southwest,Paschall-Kingsessing 7
42101007102,Paschall-Kingsessing,42.27215797,Average,181,Ozone concentration,Southwest,Paschall-Kingsessing 8
42101007200,Paschall-Kingsessing,42.27216169,Average,189,Ozone concentration,Southwest,Paschall-Kingsessing 9
42101007300,Paschall-Kingsessing,42.27215797,Average,181,Ozone concentration,Southwest,Paschall-Kingsessing 10
