geoid,neighborhood_name,value,average_label,rank,variable,region_name,tract_name
42101000100,Center City East,10.01288891,Below Average,345,Particulate matter concentration,Greater Center City,Center City East 1
42101000200,Center City East,9.267068863,Below Average,334,Particulate matter concentration,Greater Center City,Center City East 2
42101000300,Center City West,8.443595886,Average,267,Particulate matter concentration,Greater Center City,Center City West 1
42101000401,Center City West,8.443595886,Average,267,Particulate matter concentration,Greater Center City,Center City West 2
42101000402,Center City West,8.443595886,Average,267,Particulate matter concentration,Greater Center City,Center City West 3
42101000500,Center City East,9.118347168,Below Average,330,Particulate matter concentration,Greater Center City,Center City East 3
42101000600,Center City East,9.053303719,Below Average,328,Particulate matter concentration,Greater Center City,Center City East 4
42101000700,Center City West,8.443595886,Average,267,Particulate matter concentration,Greater Center City,Center City West 4
42101000801,Center City West,8.443595886,Average,267,Particulate matter concentration,Greater Center City,Center City West 5
42101000803,Center City West,8.443595886,Average,267,Particulate matter concentration,Greater Center City,Center City West 6
42101000804,Center City West,8.443595886,Average,267,Particulate matter concentration,Greater Center City,Center City West 7
42101000901,Center City East,8.443595886,Average,267,Particulate matter concentration,Greater Center City,Center City East 5
42101000902,Center City East,9.350349426,Below Average,337,Particulate matter concentration,Greater Center City,Center City East 6
42101001001,Center City East,10.01288891,Below Average,345,Particulate matter concentration,Greater Center City,Center City East 7
42101001002,Center City East,10.01288891,Below Average,345,Particulate matter concentration,Greater Center City,Center City East 8
42101001101,Center City East,8.443595886,Average,267,Particulate matter concentration,Greater Center City,Center City East 9
42101001102,Center City East,9.351097107,Below Average,338,Particulate matter concentration,Greater Center City,Center City East 10
42101001201,Center City West,8.443595886,Average,267,Particulate matter concentration,Greater Center City,Center City West 8
42101001202,Center City West,8.443595886,Average,267,Particulate matter concentration,Greater Center City,Center City West 9
42101001300,Schuylkill-Point Breeze,8.443595886,Average,267,Particulate matter concentration,Greater Center City,Schuylkill-Point Breeze 1
42101001400,Schuylkill-Point Breeze,8.443595886,Average,267,Particulate matter concentration,Greater Center City,Schuylkill-Point Breeze 2
42101001500,Pennsport-Queen Village,9.002117157,Below Average,325,Particulate matter concentration,Greater Center City,Pennsport-Queen Village 1
42101001600,Pennsport-Queen Village,10.01288986,Below Average,350,Particulate matter concentration,Greater Center City,Pennsport-Queen Village 2
42101001700,Pennsport-Queen Village,10.01288891,Below Average,345,Particulate matter concentration,Greater Center City,Pennsport-Queen Village 3
42101001800,Pennsport-Queen Village,9.002165794,Below Average,326,Particulate matter concentration,Greater Center City,Pennsport-Queen Village 4
42101001900,Schuylkill-Point Breeze,8.443595886,Average,267,Particulate matter concentration,Greater Center City,Schuylkill-Point Breeze 3
42101002000,Schuylkill-Point Breeze,8.443595886,Average,267,Particulate matter concentration,South,Schuylkill-Point Breeze 4
42101002100,Schuylkill-Point Breeze,8.443595886,Average,267,Particulate matter concentration,South,Schuylkill-Point Breeze 5
42101002200,Schuylkill-Point Breeze,8.443595886,Average,267,Particulate matter concentration,South,Schuylkill-Point Breeze 6
42101002300,Southwark-Bella Vista,8.443595886,Average,267,Particulate matter concentration,Greater Center City,Southwark-Bella Vista 1
42101002400,Southwark-Bella Vista,8.978157997,Below Average,324,Particulate matter concentration,Greater Center City,Southwark-Bella Vista 2
42101002500,Pennsport-Queen Village,10.01288891,Below Average,345,Particulate matter concentration,Greater Center City,Pennsport-Queen Village 5
42101002701,Pennsport-Queen Village,9.787898064,Below Average,341,Particulate matter concentration,South,Pennsport-Queen Village 6
42101002702,Pennsport-Queen Village,9.726939201,Below Average,340,Particulate matter concentration,South,Pennsport-Queen Village 7
42101002801,Southwark-Bella Vista,9.322623253,Below Average,335,Particulate matter concentration,South,Southwark-Bella Vista 3
42101002802,Southwark-Bella Vista,8.4319067,Average,261,Particulate matter concentration,South,Southwark-Bella Vista 4
42101002900,Southwark-Bella Vista,8.440882683,Average,264,Particulate matter concentration,South,Southwark-Bella Vista 5
42101003001,Southwark-Bella Vista,8.443551064,Average,266,Particulate matter concentration,South,Southwark-Bella Vista 6
42101003002,Southwark-Bella Vista,8.443595886,Average,267,Particulate matter concentration,South,Southwark-Bella Vista 7
42101003100,Schuylkill-Point Breeze,8.443595886,Average,267,Particulate matter concentration,South,Schuylkill-Point Breeze 7
42101003200,Schuylkill-Point Breeze,8.443595886,Average,267,Particulate matter concentration,South,Schuylkill-Point Breeze 8
42101003300,Grays Ferry-Passyunk,8.443595886,Average,267,Particulate matter concentration,South,Grays Ferry-Passyunk 1
42101003600,Grays Ferry-Passyunk,8.418896675,Average,256,Particulate matter concentration,South,Grays Ferry-Passyunk 2
42101003701,South Broad-Girard Estates,8.425391197,Average,258,Particulate matter concentration,South,South Broad-Girard Estates 1
42101003702,South Broad-Girard Estates,8.378969193,Average,205,Particulate matter concentration,South,South Broad-Girard Estates 2
42101003800,Grays Ferry-Passyunk,8.378969193,Average,205,Particulate matter concentration,South,Grays Ferry-Passyunk 3
42101003901,South Broad-Girard Estates,8.382392883,Average,210,Particulate matter concentration,South,South Broad-Girard Estates 3
42101003902,South Broad-Girard Estates,8.378969193,Average,205,Particulate matter concentration,South,South Broad-Girard Estates 4
42101004001,South Broad-Girard Estates,8.378969193,Average,205,Particulate matter concentration,South,South Broad-Girard Estates 5
42101004002,South Broad-Girard Estates,8.378968239,Average,204,Particulate matter concentration,South,South Broad-Girard Estates 6
42101004101,Snyder-Whitman,8.597187996,Below Average,301,Particulate matter concentration,South,Snyder-Whitman 1
42101004102,Snyder-Whitman,8.485692978,Below Average,298,Particulate matter concentration,South,Snyder-Whitman 2
42101004201,Snyder-Whitman,9.182100296,Below Average,331,Particulate matter concentration,South,Snyder-Whitman 3
42101004202,Snyder-Whitman,9.182100296,Below Average,331,Particulate matter concentration,South,Snyder-Whitman 4
42101005400,Eastwick-Elmwood,7.541946888,Above Average,3,Particulate matter concentration,Southwest,Eastwick-Elmwood 1
42101005500,Eastwick-Elmwood,8.11270237,Average,107,Particulate matter concentration,Southwest,Eastwick-Elmwood 2
42101005600,Eastwick-Elmwood,8.11270237,Average,107,Particulate matter concentration,Southwest,Eastwick-Elmwood 3
42101006000,Eastwick-Elmwood,8.11270237,Average,107,Particulate matter concentration,Southwest,Eastwick-Elmwood 4
42101006100,Eastwick-Elmwood,8.11270237,Average,107,Particulate matter concentration,Southwest,Eastwick-Elmwood 5
42101006200,Eastwick-Elmwood,8.11270237,Average,107,Particulate matter concentration,Southwest,Eastwick-Elmwood 6
42101006300,Paschall-Kingsessing,8.11270237,Average,107,Particulate matter concentration,Southwest,Paschall-Kingsessing 1
42101006400,Paschall-Kingsessing,8.212408066,Average,120,Particulate matter concentration,Southwest,Paschall-Kingsessing 2
42101006500,Paschall-Kingsessing,8.393476486,Average,219,Particulate matter concentration,Southwest,Paschall-Kingsessing 3
42101006600,Paschall-Kingsessing,8.348607063,Average,183,Particulate matter concentration,Southwest,Paschall-Kingsessing 4
42101006700,Eastwick-Elmwood,8.168966293,Average,117,Particulate matter concentration,Southwest,Eastwick-Elmwood 7
42101006900,Paschall-Kingsessing,8.420729637,Average,257,Particulate matter concentration,Southwest,Paschall-Kingsessing 5
42101007000,Paschall-Kingsessing,8.393481255,Average,224,Particulate matter concentration,Southwest,Paschall-Kingsessing 6
42101007101,Paschall-Kingsessing,8.393475533,Average,213,Particulate matter concentration,Southwest,Paschall-Kingsessing 7
42101007102,Paschall-Kingsessing,8.393476486,Average,219,Particulate matter concentration,Southwest,Paschall-Kingsessing 8
42101007200,Paschall-Kingsessing,8.393476486,Average,219,Particulate matter concentration,Southwest,Paschall-Kingsessing 9
42101007300,Paschall-Kingsessing,8.393475533,Average,213,Particulate matter concentration,Southwest,Paschall-Kingsessing 10
42101007400,Paschall-Kingsessing,8.426393509,Average,259,Particulate matter concentration,Southwest,Paschall-Kingsessing 11
42101007700,University City,8.443595886,Average,267,Particulate matter concentration,Southwest,University City 1
42101007800,University City,8.417042732,Average,255,Particulate matter concentration,Southwest,University City 2
42101007900,University City,8.406004906,Average,227,Particulate matter concentration,Southwest,University City 3
42101008000,Cobbs Creek,8.393476486,Average,219,Particulate matter concentration,Southwest,Cobbs Creek 1
42101008101,Cobbs Creek,8.393476486,Average,219,Particulate matter concentration,Southwest,Cobbs Creek 2
42101008102,Cobbs Creek,8.393475533,Average,213,Particulate matter concentration,Southwest,Cobbs Creek 3
42101008200,Cobbs Creek,8.393475533,Average,213,Particulate matter concentration,Southwest,Cobbs Creek 4
42101008301,Cobbs Creek,8.391145706,Average,211,Particulate matter concentration,Southwest,Cobbs Creek 5
42101008302,Cobbs Creek,8.392896652,Average,212,Particulate matter concentration,Southwest,Cobbs Creek 6
42101008400,Cobbs Creek,8.393475533,Average,213,Particulate matter concentration,Southwest,Cobbs Creek 7
42101008500,Cobbs Creek,8.393475533,Average,213,Particulate matter concentration,Southwest,Cobbs Creek 8
42101008601,University City,8.416944504,Average,254,Particulate matter concentration,Southwest,University City 4
42101008602,University City,8.412725449,Average,229,Particulate matter concentration,Southwest,University City 5
42101008701,University City,8.443595886,Average,267,Particulate matter concentration,Southwest,University City 6
42101008702,University City,8.443595886,Average,267,Particulate matter concentration,Southwest,University City 7
42101008801,University City,8.443595886,Average,267,Particulate matter concentration,Southwest,University City 8
